exp_id,hypothesis_version,asset_universe,period,data_and_features,model_or_rule,key_parameters,main_result,retained,reason
EXP01,H0-exploratory,All active USD crypto pairs on Massive excluding stablecoins,2026-08-30 to 2026-09-05,"7-day summed unit volume; 7-day summed notional volume (v × vw)",Linear OLS of notional volume on unit volume,intercept only,"R^2 = 0.000, slope p = 0.901, Cond. No. = 8.15e+11",Rejected,
EXP02,H0-exploratory,Intersection of Massive USD crypto pairs and Binance active spot symbols excluding stables,2026-08-30 to 2026-09-05,"7-day summed unit volume; 7-day summed notional volume (v × vw)",Linear OLS of notional volume on unit volume,intercept only,"R^2 = 0.000, slope p = 0.877, Cond. No. = 8.99e+11, n = 185",Rejected,
E01_aggregate_grid,H1,15 coins Binance vs Massive both directions,2026-08-30..09-12,VWAP two-window returns thinned,daily OLS y~x + one-sample t on daily corr + BH over 1440 cells,a in {0.2..30}s b in {5..60}s c=0.1b,tier-1 B->M corr 0.0061 t 2.9; min BH q 0.107,yes,Primary test of H1; reported as not supported
E02_tier_comparison,H1a,same,same,same + coin tier and log notional,tier-pooled means; Spearman across coins,same grid,tier2 0.06 vs tier1 0.0061; median rho -0.24 mostly n.s.,yes,Reported as suggestive/under-tested
E03_open_vs_close,H1b,same,US-equity open vs closed blocks,same,paired by coin,same grid,open 0.0104 vs closed 0.0071 (tier 1),yes,No regime difference; H1b rejected
E04_taker_imbalance,secondary,same,same,W1 buy-sell notional imbalance,daily OLS y~imb,same grid,t ~ 0,no,No incremental information
E05_venue_split,H1 (venue level),4 Massive exchange IDs + minus-Kraken aggregates,same,same,same as E01,same grid,Kraken as lag: corr 0.13-0.22 t 4.0-6.5 BH q 0.0015-0.073,yes,Strongest finding; carried to E06-E10
E06_focus_bgrid,H1 (venue level),Kraken pairs BTC ETH XRP,same,same,daily OLS + percentile bootstrap over coin-days,b in {1.5..20}s a in {0.5 1 5}s,decay monotone but boot lo still >0 at b=20s,yes,Post hoc grid; FAILS the pre-registered decay-to-zero criterion
E07_placebos,H1 (venue level),same,same,reversed b coin-shuffle day-shuffle,same,b=-5s -10s; shuffles at a=1s b=5s,negb -10s and day-shuffle flat; negb -5s 0.04; coin-shuffle 0.134 t 7.8,yes,Effect is market-wide not coin-specific; partial pass
E08_reverse_direction,H1 (venue level),same,same,control direction Kraken as lead,same,focus grid,Kraken->Binance 0.101 t 6.5 at a=1s b=3s; forward/reverse 1.7-2.7x,yes,FAILS the flat-control criterion; bidirectional component acknowledged
E09_staleness,H1 (venue level),same,same,lag-window idle time and dt ratio,split dense vs stale,dense = idle below median,frac_dense 0.63; corr_dense 0.106 corr_stale 0.174,yes,Partial pass; staleness contributes but does not explain the effect
E10_horizon,H1 (venue level),same,same,same signal evaluated at 2b and 4b,same,horizon mult 1 2 4,0.126 -> 0.079 -> 0.062; no sign flip,yes,Consistent with delayed discovery rather than liquidity reversal
E11_oos_split,H1 (venue level),same,train <=09-05 test 09-06..09-12,same,pick (a b) on train evaluate on test,selected a=0.5-1s b=1.5-5s,IS 0.262 -> OOS 0.195 (B->Kraken); 0.228 -> 0.171 (Coinbase->Kraken),yes,Parameter choice holds out of sample; venue choice does not
E12_cost_curve,H1c,all pairs,same,signed mean lag return by |x| threshold,bootstrap CI,thresholds q in {0 .25 .5 .75 .9 .95},max 1.36 bps gross vs 2-10 bps fees; breakeven <=1.2 bps,yes,Not tradable
